playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8470794,2020,Joe Pavelski,DAL,C,other,56,2693.0,44.0,51.42,0.47,0.35,0.72,0.32,0.74,0.35,133.0,14.07,1.99,1.21,2.65,0.58,10.16,3.41,1.77,1.99,1.77,4.0,1.0,12.0,8.0,3.0,23.0,8.0,3.0,1.0,1.0,2.0,0.0,12.0,2.0,9.0,17.0,1.0,2.0,19.0,4.0,0.0,0.0,9.0,9.0,2.0,0.33,1.14,0.52,0.0,3.0,0.0,23.0,20.0,20.0,0.0,0.37,0.15,0.45,1.91,1.91,1.72,44.0,8.0,6.0,2.0,28.0,7.0,6.0,10.0,21.0,19.0,13.0,1614.0,2.0,0.0,0.0,2.0,50.08,7.61,7.12,7.61,7.12,51.0,21.0,23.0,95.0,10.0,3.0,1.0,42.0,24.0,6.0,1.68,2.9,3.04,2.0,5.0,3.0,95.0,72.0,72.0,1.27,0.65,0.65,8.23,8.23,7.73,17.72,8.43,7.54,8.43,7.54,15.0,10.0,12.0,37.0,5.0,1.0,0.0,10.0,3.0,12.0,0.33,0.39,7.71,0.0,0.0,5.0,37.0,25.0,25.0,0.29,0.3,0.3,8.41,8.41,7.54,4.41,8.19,37.0,79.0,0.0,0.68,0.0,1.0,0.0,1.0
8470794,2020,Joe Pavelski,DAL,C,all,56,63932.0,1395.0,61.21,0.62,0.46,0.61,0.48,0.61,0.48,160.0,145.37,18.1,11.74,30.46,5.31,89.79,55.59,17.3,18.14,17.33,14.0,12.0,139.0,72.0,31.0,242.0,51.0,25.0,12.0,7.0,21.0,13.0,75.0,65.0,114.0,186.0,8.0,16.0,364.0,64.0,17.0,20.0,138.0,56.0,17.0,4.72,6.6,6.79,5.0,12.0,8.0,242.23,211.0,210.77,11.0,2.76,1.82,4.94,15.93,15.93,15.44,1395.0,321.0,196.0,179.0,699.0,151.0,157.0,231.0,856.0,364.0,335.0,142182.0,16.0,24.0,12.0,39.0,618.48,61.39,59.24,61.35,59.2,604.0,284.0,293.0,1181.0,78.0,54.0,16.0,654.0,183.0,51.0,19.39,21.68,20.32,22.0,33.0,23.0,1178.14,888.0,885.75,10.7,12.71,12.71,59.38,59.33,57.74,400.18,37.43,35.85,37.57,35.99,401.0,163.0,186.0,750.0,27.0,19.0,4.0,442.0,87.0,35.0,12.62,10.02,14.79,8.0,9.0,10.0,752.52,564.0,566.68,5.74,3.61,4.53,38.63,38.76,37.29,82.79,96.97,1941.0,2131.0,0.0,0.0,0.0,0.0,0.0,0.0
8470794,2020,Joe Pavelski,DAL,C,5on5,56,49158.0,1124.0,61.21,0.6,0.52,0.57,0.51,0.57,0.51,235.0,90.05,9.31,6.64,20.42,3.14,53.12,37.36,9.02,9.36,9.05,5.0,8.0,86.0,44.0,25.0,155.0,25.0,12.0,7.0,3.0,14.0,11.0,38.0,48.0,74.0,118.0,3.0,6.0,271.0,56.0,16.0,17.0,92.0,28.0,10.0,3.24,3.34,2.73,5.0,3.0,4.0,155.23,130.0,129.77,10.0,1.38,1.04,2.2,8.5,8.5,8.38,1124.0,214.0,133.0,158.0,619.0,127.0,127.0,170.0,700.0,271.0,234.0,121938.0,6.0,24.0,12.0,35.0,399.27,32.47,31.54,32.42,31.49,385.0,188.0,212.0,785.0,38.0,38.0,7.0,445.0,102.0,26.0,13.12,12.38,6.98,16.0,15.0,7.0,782.14,573.0,570.75,5.64,6.26,6.26,31.86,31.8,31.23,307.84,22.04,21.61,22.17,21.74,306.0,129.0,157.0,592.0,17.0,14.0,3.0,352.0,68.0,15.0,10.15,7.87,4.01,8.0,7.0,2.0,594.51,435.0,437.68,4.08,2.67,2.66,23.45,23.58,23.19,68.19,62.85,1724.0,1652.0,1.5,0.45,30.0,17.0,22.0,15.0
8470794,2020,Joe Pavelski,DAL,C,4on5,56,2270.0,95.0,42.16,0.08,0.09,0.15,0.12,0.13,0.14,176.0,3.27,0.16,0.18,0.52,0.12,1.29,2.74,0.16,0.16,0.16,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,1.0,2.0,25.0,3.0,0.0,1.0,5.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.04,0.0,0.0,0.2,0.2,0.19,95.0,2.0,56.0,2.0,35.0,5.0,18.0,14.0,58.0,25.0,32.0,9766.0,2.0,0.0,0.0,0.0,5.96,0.38,0.38,0.38,0.38,9.0,0.0,4.0,13.0,1.0,0.0,0.0,7.0,2.0,0.0,0.18,0.2,0.0,0.0,1.0,0.0,13.0,9.0,9.0,0.08,0.0,0.0,0.46,0.46,0.46,42.4,4.56,4.36,4.56,4.36,46.0,14.0,14.0,74.0,3.0,4.0,1.0,45.0,9.0,6.0,1.17,0.93,2.45,0.0,1.0,2.0,74.0,60.0,60.0,0.96,0.63,1.57,3.95,3.95,3.81,1.45,15.55,34.0,251.0,0.01,0.01,1.0,2.0,1.0,2.0
8470794,2020,Joe Pavelski,DAL,C,5on4,56,9811.0,132.0,60.63,0.94,0.85,0.89,0.8,0.88,0.76,118.0,37.24,6.62,3.69,6.69,1.45,24.88,11.68,6.34,6.62,6.34,5.0,3.0,36.0,19.0,3.0,58.0,18.0,10.0,4.0,3.0,5.0,2.0,24.0,10.0,26.0,45.0,2.0,4.0,47.0,1.0,1.0,2.0,31.0,19.0,5.0,0.97,2.11,3.54,0.0,6.0,4.0,58.0,55.0,55.0,0.0,0.96,0.62,2.29,5.3,5.3,5.12,132.0,97.0,1.0,17.0,17.0,12.0,6.0,37.0,77.0,47.0,35.0,5253.0,4.0,0.0,0.0,2.0,157.12,20.67,19.95,20.67,19.95,154.0,72.0,52.0,278.0,29.0,13.0,8.0,152.0,55.0,19.0,4.16,6.21,10.3,4.0,12.0,13.0,278.0,226.0,226.0,3.64,5.8,5.8,18.51,18.51,17.99,23.56,1.3,1.27,1.3,1.27,25.0,7.0,3.0,35.0,0.0,0.0,0.0,27.0,4.0,1.0,0.6,0.51,0.2,0.0,0.0,0.0,35.0,32.0,32.0,0.24,0.0,0.0,1.55,1.55,1.51,6.68,1.18,106.0,26.0,0.0,0.11,0.0,1.0,0.0,1.0
8479514,2020,Rem Pitlick,NSH,C,other,10,9.0,0.0,0.1,0.0,0.06,0.0,0.33,0.0,0.25,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.38,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8479514,2020,Rem Pitlick,NSH,C,all,10,6782.0,150.0,3.17,0.58,0.49,0.56,0.48,0.6,0.48,103.0,7.83,0.77,0.6,1.35,0.27,4.67,3.34,0.74,0.75,0.72,2.0,0.0,11.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,11.0,11.0,2.0,4.0,15.0,8.0,0.0,3.0,6.0,5.0,0.0,0.2,0.57,0.0,0.0,0.0,0.0,12.98,11.0,10.81,0.0,0.13,0.0,0.0,0.9,0.87,0.84,150.0,15.0,11.0,15.0,109.0,15.0,20.0,14.0,101.0,15.0,21.0,30683.0,4.0,2.0,1.0,1.0,53.11,3.79,3.71,3.83,3.75,55.0,20.0,12.0,87.0,4.0,5.0,0.0,60.0,12.0,3.0,1.78,1.23,0.78,2.0,2.0,0.0,87.77,75.0,75.8,0.72,0.78,0.78,3.73,3.77,3.71,35.89,2.74,2.71,2.74,2.71,39.0,12.0,18.0,69.0,1.0,3.0,0.0,42.0,7.0,2.0,1.3,0.92,0.52,0.0,1.0,0.0,69.6,51.0,51.31,0.48,0.45,0.45,2.77,2.78,2.76,21.18,21.89,412.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0
8479514,2020,Rem Pitlick,NSH,C,5on5,10,6300.0,137.0,3.17,0.57,0.51,0.54,0.48,0.58,0.49,90.0,7.17,0.76,0.55,1.22,0.25,4.16,3.06,0.73,0.74,0.71,2.0,0.0,10.0,0.0,2.0,12.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,10.0,10.0,2.0,4.0,15.0,8.0,0.0,3.0,5.0,5.0,0.0,0.19,0.57,0.0,0.0,0.0,0.0,11.98,10.0,9.81,0.0,0.11,0.0,0.0,0.88,0.85,0.82,137.0,11.0,10.0,15.0,101.0,15.0,20.0,14.0,88.0,15.0,20.0,24166.0,4.0,2.0,1.0,1.0,48.85,3.66,3.58,3.7,3.62,51.0,18.0,12.0,81.0,4.0,5.0,0.0,54.0,12.0,3.0,1.65,1.23,0.78,2.0,2.0,0.0,81.77,69.0,69.8,0.65,0.78,0.78,3.53,3.56,3.51,35.26,2.71,2.68,2.71,2.68,38.0,12.0,18.0,68.0,1.0,3.0,0.0,41.0,7.0,2.0,1.27,0.92,0.52,0.0,1.0,0.0,68.6,50.0,50.31,0.48,0.45,0.45,2.73,2.74,2.73,13.72,13.19,309.0,332.0,0.14,0.03,5.0,1.0,4.0,1.0
8479514,2020,Rem Pitlick,NSH,C,4on5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8479514,2020,Rem Pitlick,NSH,C,5on4,10,473.0,13.0,0.92,0.82,0.96,0.86,0.9,0.86,0.86,47.0,0.66,0.01,0.06,0.13,0.02,0.52,0.28,0.01,0.01,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.02,0.02,0.02,13.0,4.0,1.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,0.0,1458.0,0.0,0.0,0.0,0.0,4.26,0.13,0.13,0.13,0.13,4.0,2.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.08,0.0,0.0,0.21,0.21,0.21,0.63,0.03,0.03,0.03,0.03,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.04,0.04,0.04,4.42,0.2,47.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
